S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
10062,31/08/2020,Jharkhand,38435,11577,26448,410
10063,01/09/2020,Jharkhand,41656,14096,27143,417
10064,02/09/2020,Jharkhand,43833,15256,28149,428
10065,03/09/2020,Jharkhand,44862,14677,29747,438
10066,04/09/2020,Jharkhand,46480,15150,30886,444
10067,05/09/2020,Jharkhand,48039,15549,32043,447
10068,06/09/2020,Jharkhand,49797,15005,34330,462
10069,07/09/2020,Jharkhand,51063,14410,36184,469
10070,08/09/2020,Jharkhand,52620,14588,37550,482
10071,09/09/2020,Jharkhand,55296,15438,39362,496
10072,10/09/2020,Jharkhand,56897,15726,40659,512
10073,11/09/2020,Jharkhand,58079,15447,42115,517
10074,12/09/2020,Jharkhand,59040,15180,43328,532
10075,13/09/2020,Jharkhand,60460,14844,45074,542
10076,14/09/2020,Jharkhand,61474,14336,46583,555
10077,15/09/2020,Jharkhand,62737,14064,48112,561
10078,16/09/2020,Jharkhand,64439,14118,49750,571
10079,17/09/2020,Jharkhand,66074,14138,51357,579
10080,18/09/2020,Jharkhand,67100,13703,52807,590
10081,19/09/2020,Jharkhand,68578,13924,54052,602
10082,20/09/2020,Jharkhand,69860,13548,55697,615
10083,21/09/2020,Jharkhand,71352,13791,56944,617
10084,22/09/2020,Jharkhand,72673,13504,58543,626
10085,23/09/2020,Jharkhand,73948,13280,60027,641
10086,24/09/2020,Jharkhand,75089,12882,61559,648
10087,25/09/2020,Jharkhand,76438,12841,62945,652
10088,26/09/2020,Jharkhand,77709,12533,64515,661
10089,27/09/2020,Jharkhand,78935,12426,65839,670
10090,28/09/2020,Jharkhand,79909,12433,66797,679
10091,29/09/2020,Jharkhand,81417,12126,68603,688
10092,30/09/2020,Jharkhand,82540,11942,69898,700
10093,01/10/2020,Jharkhand,83651,11596,71342,713
10094,02/10/2020,Jharkhand,84664,11482,72461,721
10095,03/10/2020,Jharkhand,85400,11243,73428,729
10096,04/10/2020,Jharkhand,86277,10939,74604,734
10097,05/10/2020,Jharkhand,87210,10936,75531,743
10098,06/10/2020,Jharkhand,88026,10436,76843,747
10099,07/10/2020,Jharkhand,88873,10027,78089,757
10100,08/10/2020,Jharkhand,89702,9759,79176,767
10101,09/10/2020,Jharkhand,90486,9272,80439,775
10102,10/10/2020,Jharkhand,91254,8819,81654,781
10103,11/10/2020,Jharkhand,91951,8362,82805,784
10104,12/10/2020,Jharkhand,92525,8167,83571,787
10105,13/10/2020,Jharkhand,93035,7776,84461,798
10106,14/10/2020,Jharkhand,93736,7617,85314,805
10107,15/10/2020,Jharkhand,94369,7191,86367,811
10108,16/10/2020,Jharkhand,94952,6892,87240,820
10109,17/10/2020,Jharkhand,95425,6543,88058,824
10110,18/10/2020,Jharkhand,95967,6576,88559,832
10111,19/10/2020,Jharkhand,96352,6502,89011,839
10112,20/10/2020,Jharkhand,96842,6220,89780,842
10113,21/10/2020,Jharkhand,97414,6180,90385,849
10114,22/10/2020,Jharkhand,98061,6206,91004,851
10115,23/10/2020,Jharkhand,98610,6122,91629,859
10116,24/10/2020,Jharkhand,99045,6055,92128,862
10117,25/10/2020,Jharkhand,99428,5966,92598,864
10118,26/10/2020,Jharkhand,99686,5844,92976,866
10119,27/10/2020,Jharkhand,99906,5666,93368,872
10120,28/10/2020,Jharkhand,100224,5474,93874,876
10121,29/10/2020,Jharkhand,100569,5363,94326,880
10122,30/10/2020,Jharkhand,100964,5294,94787,883
10123,31/10/2020,Jharkhand,101287,5196,95208,883
10124,01/11/2020,Jharkhand,101761,5302,95575,884
10125,02/11/2020,Jharkhand,102087,5229,95973,885
10126,03/11/2020,Jharkhand,102490,5119,96485,886
10127,04/11/2020,Jharkhand,102887,5021,96975,891
10128,05/11/2020,Jharkhand,103188,4814,97480,894
10129,06/11/2020,Jharkhand,103543,4685,97964,894
10130,07/11/2020,Jharkhand,103899,4639,98365,895
10131,08/11/2020,Jharkhand,104239,4566,98776,897
10132,09/11/2020,Jharkhand,104442,4471,99074,897
10133,10/11/2020,Jharkhand,104688,4251,99532,905
10134,11/11/2020,Jharkhand,104940,4042,99988,910
10135,12/11/2020,Jharkhand,105224,4009,100302,913
10136,13/11/2020,Jharkhand,105493,3668,100908,917
10137,14/11/2020,Jharkhand,105781,3291,101569,921
10138,15/11/2020,Jharkhand,105935,3116,101897,922
10139,16/11/2020,Jharkhand,106064,2952,102188,924
10140,17/11/2020,Jharkhand,106230,2754,102548,928
10141,18/11/2020,Jharkhand,106491,2669,102891,931
10142,19/11/2020,Jharkhand,106742,2637,103171,934
10143,20/11/2020,Jharkhand,106972,2600,103435,937
10144,21/11/2020,Jharkhand,107157,2594,103624,939
10145,22/11/2020,Jharkhand,107332,2430,103957,945
10146,23/11/2020,Jharkhand,107469,2289,104229,951
10147,24/11/2020,Jharkhand,107688,2202,104533,953
10148,25/11/2020,Jharkhand,107921,2242,104724,955
10149,26/11/2020,Jharkhand,108158,2160,105040,958
10150,27/11/2020,Jharkhand,108388,2169,105258,961
10151,28/11/2020,Jharkhand,108577,2162,105453,962
10152,29/11/2020,Jharkhand,108786,2154,105669,963
10153,30/11/2020,Jharkhand,108984,2138,105883,963
10154,01/12/2020,Jharkhand,109151,2016,106171,964
10155,02/12/2020,Jharkhand,109332,1965,106398,969
10156,03/12/2020,Jharkhand,109538,1907,106660,971
10157,04/12/2020,Jharkhand,109771,1926,106868,977
10158,05/12/2020,Jharkhand,109990,1938,107074,978
10159,06/12/2020,Jharkhand,110186,1845,107362,979
10160,07/12/2020,Jharkhand,110278,1796,107496,986
10161,08/12/2020,Jharkhand,110457,1759,107710,988
10162,09/12/2020,Jharkhand,110639,1753,107898,988
10163,10/12/2020,Jharkhand,110830,1739,108100,991
10164,11/12/2020,Jharkhand,111003,1690,108320,993
10165,12/12/2020,Jharkhand,111177,1694,108488,995
10166,13/12/2020,Jharkhand,111366,1610,108761,995
10167,14/12/2020,Jharkhand,111510,1571,108940,999
10168,15/12/2020,Jharkhand,111722,1581,109141,1000
10169,17/12/2020,Jharkhand,112121,1585,109532,1004
10170,18/12/2020,Jharkhand,112332,1629,109696,1007
10171,19/12/2020,Jharkhand,112606,1707,109891,1008
10172,20/12/2020,Jharkhand,112853,1718,110125,1010
10173,21/12/2020,Jharkhand,113025,1708,110307,1010
10174,22/12/2020,Jharkhand,113198,1675,110512,1011
10175,23/12/2020,Jharkhand,113407,1635,110758,1014
10176,24/12/2020,Jharkhand,113609,1633,110962,1014
10177,25/12/2020,Jharkhand,113786,1595,111175,1016
10178,26/12/2020,Jharkhand,113954,1587,111351,1016
10179,27/12/2020,Jharkhand,114146,1598,111530,1018
10180,28/12/2020,Jharkhand,114268,1585,111664,1019
10181,29/12/2020,Jharkhand,114420,1582,111818,1020
10182,30/12/2020,Jharkhand,114650,1604,112021,1025
10183,31/12/2020,Jharkhand,114873,1640,112206,1027
10184,03/01/2021,Jharkhand,115392,1624,112734,1034
10185,04/01/2021,Jharkhand,115529,1601,112893,1035
10186,05/01/2021,Jharkhand,115689,1528,113125,1036
10187,06/01/2021,Jharkhand,115840,1422,113380,1038
10188,07/01/2021,Jharkhand,116034,1449,113545,1040
10189,08/01/2021,Jharkhand,116229,1448,113740,1041
10190,09/01/2021,Jharkhand,116436,1465,113928,1043
10191,10/01/2021,Jharkhand,116672,1494,114133,1045
10192,11/01/2021,Jharkhand,116817,1468,114302,1047
10193,12/01/2021,Jharkhand,116961,1382,114531,1048
10194,13/01/2021,Jharkhand,117088,1356,114684,1048
10195,14/01/2021,Jharkhand,117240,1356,114836,1048
10196,15/01/2021,Jharkhand,117384,1327,115009,1048
10197,16/01/2021,Jharkhand,117480,1289,115142,1049
10198,17/01/2021,Jharkhand,117599,1249,115300,1050
10199,18/01/2021,Jharkhand,117686,1225,115411,1050
10200,19/01/2021,Jharkhand,117786,1190,115542,1054
10201,20/01/2021,Jharkhand,117887,1147,115683,1057
10202,21/01/2021,Jharkhand,118012,1102,115853,1057
10203,22/01/2021,Jharkhand,118079,1032,115989,1058
10204,23/01/2021,Jharkhand,118154,978,116116,1060
10205,24/01/2021,Jharkhand,118232,878,116293,1061
10206,25/01/2021,Jharkhand,118286,821,116402,1063
10207,27/01/2021,Jharkhand,118425,772,116589,1064
10208,28/01/2021,Jharkhand,118495,723,116706,1066
10209,29/01/2021,Jharkhand,118557,670,116818,1069
10210,30/01/2021,Jharkhand,118602,628,116904,1070
10211,31/01/2021,Jharkhand,118651,576,117004,1071
10212,01/02/2021,Jharkhand,118692,553,117067,1072
10213,02/02/2021,Jharkhand,118734,513,117148,1073
10214,03/02/2021,Jharkhand,118793,489,117229,1075
10215,04/02/2021,Jharkhand,118839,453,117309,1077
10216,05/02/2021,Jharkhand,118897,447,117373,1077
10217,06/02/2021,Jharkhand,118938,441,117420,1077
10218,07/02/2021,Jharkhand,118979,428,117474,1077
10219,08/02/2021,Jharkhand,119017,431,117508,1078
10220,09/02/2021,Jharkhand,119055,438,117539,1078
10221,10/02/2021,Jharkhand,119116,464,117574,1078
10222,11/02/2021,Jharkhand,119161,464,117616,1081
10223,12/02/2021,Jharkhand,119206,456,117669,1081
10224,13/02/2021,Jharkhand,119242,441,117720,1081
10225,14/02/2021,Jharkhand,119283,452,117749,1082
10226,15/02/2021,Jharkhand,119316,461,117773,1082
10227,16/02/2021,Jharkhand,119354,464,117806,1084
10228,17/02/2021,Jharkhand,119394,460,117850,1084
10229,18/02/2021,Jharkhand,119439,466,117889,1084
10230,19/02/2021,Jharkhand,119477,467,117926,1084
10231,20/02/2021,Jharkhand,119528,467,117977,1084
10232,21/02/2021,Jharkhand,119565,459,118022,1084
10233,22/02/2021,Jharkhand,119596,453,118058,1085
10234,23/02/2021,Jharkhand,119637,448,118103,1086
10235,24/02/2021,Jharkhand,119687,447,118154,1086
10236,25/02/2021,Jharkhand,119719,431,118201,1087
10237,26/02/2021,Jharkhand,119795,467,118241,1087
10238,27/02/2021,Jharkhand,119863,492,118284,1087
10239,01/03/2021,Jharkhand,119949,494,118365,1090
10240,02/03/2021,Jharkhand,119986,485,118411,1090
10241,03/03/2021,Jharkhand,120037,498,118449,1090
10242,04/03/2021,Jharkhand,120068,473,118505,1090
10243,06/03/2021,Jharkhand,120173,481,118601,1091
10244,07/03/2021,Jharkhand,120217,461,118665,1091
10245,08/03/2021,Jharkhand,120259,463,118703,1093
10246,09/03/2021,Jharkhand,120312,472,118747,1093
10247,10/03/2021,Jharkhand,120374,494,118787,1093
10248,11/03/2021,Jharkhand,120436,520,118823,1093
10249,13/03/2021,Jharkhand,120524,509,118922,1093
10250,14/03/2021,Jharkhand,120567,515,118959,1093
10251,15/03/2021,Jharkhand,120628,548,118987,1093
10252,16/03/2021,Jharkhand,120695,556,119046,1093
10253,17/03/2021,Jharkhand,120771,577,119100,1094
10254,18/03/2021,Jharkhand,120853,599,119160,1094
10255,19/03/2021,Jharkhand,120950,624,119232,1094
10256,20/03/2021,Jharkhand,121055,653,119307,1095
10257,21/03/2021,Jharkhand,121178,722,119361,1095
10258,22/03/2021,Jharkhand,121261,756,119409,1096
10259,23/03/2021,Jharkhand,121371,796,119478,1097
10260,24/03/2021,Jharkhand,121501,854,119549,1098
10261,25/03/2021,Jharkhand,121695,969,119626,1100
10262,27/03/2021,Jharkhand,122281,1399,119779,1103
10263,28/03/2021,Jharkhand,122621,1636,119878,1107
10264,29/03/2021,Jharkhand,122935,1871,119954,1110
10265,30/03/2021,Jharkhand,123090,1968,120012,1110
10266,31/03/2021,Jharkhand,123508,2254,120141,1113
10267,01/04/2021,Jharkhand,124201,2825,120263,1113
10268,02/04/2021,Jharkhand,124891,3352,120425,1114
10269,03/04/2021,Jharkhand,125585,3908,120562,1115
10270,04/04/2021,Jharkhand,126458,4613,120723,1122
10271,05/04/2021,Jharkhand,127246,5244,120872,1130
10272,06/04/2021,Jharkhand,128332,5882,121310,1140
10273,07/04/2021,Jharkhand,129596,6844,121608,1144
10274,08/04/2021,Jharkhand,130908,7872,121885,1151
10275,09/04/2021,Jharkhand,132790,9249,122383,1158
10276,10/04/2021,Jharkhand,134715,10604,122936,1175
10277,11/04/2021,Jharkhand,137088,12293,123603,1192
10278,12/04/2021,Jharkhand,139384,13933,124238,1213
10279,13/04/2021,Jharkhand,141750,15343,125175,1232
10280,14/04/2021,Jharkhand,144594,17155,126178,1261
10281,15/04/2021,Jharkhand,147792,18524,127976,1292
10282,16/04/2021,Jharkhand,151272,20651,129301,1320
10283,17/04/2021,Jharkhand,155115,23045,130694,1376
10284,18/04/2021,Jharkhand,158953,25619,131928,1406
10285,19/04/2021,Jharkhand,162945,28010,133479,1456
10286,20/04/2021,Jharkhand,167235,30477,135256,1502
10287,21/04/2021,Jharkhand,172315,33178,137590,1547
10288,22/04/2021,Jharkhand,177356,35826,139921,1609
10289,23/04/2021,Jharkhand,184951,40942,142294,1715
10290,24/04/2021,Jharkhand,190692,43415,145499,1778
10291,25/04/2021,Jharkhand,195844,45592,148364,1888
10292,26/04/2021,Jharkhand,201747,48105,151651,1991
10293,27/04/2021,Jharkhand,207288,49504,155669,2115
10294,28/04/2021,Jharkhand,213414,51252,159916,2246
10295,29/04/2021,Jharkhand,221489,54816,164278,2395
10296,30/04/2021,Jharkhand,227450,55877,169033,2540
10297,01/05/2021,Jharkhand,233411,57716,173035,2660
10298,02/05/2021,Jharkhand,239734,58437,178468,2829
10299,03/05/2021,Jharkhand,244472,58519,183009,2944
10300,04/05/2021,Jharkhand,251371,59675,188623,3073
10301,05/05/2021,Jharkhand,257345,59707,194433,3205
10302,06/05/2021,Jharkhand,263115,59532,200237,3346
10303,07/05/2021,Jharkhand,270089,60633,205977,3479
10304,08/05/2021,Jharkhand,276062,61177,211270,3615
10305,09/05/2021,Jharkhand,282174,61195,217223,3756
10306,10/05/2021,Jharkhand,286343,58806,223684,3853
10307,11/05/2021,Jharkhand,292530,57902,230646,3982
10308,12/05/2021,Jharkhand,296895,54533,238277,4085
10309,13/05/2021,Jharkhand,301257,50467,246608,4182
10310,14/05/2021,Jharkhand,301257,50467,246608,4182
10311,15/05/2021,Jharkhand,306248,48468,253490,4290
10312,16/05/2021,Jharkhand,313181,41386,267364,4431
10313,17/05/2021,Jharkhand,315502,36540,274483,4479
10314,18/05/2021,Jharkhand,318009,33524,279946,4539
10315,19/05/2021,Jharkhand,320934,31528,284805,4601
10316,20/05/2021,Jharkhand,322828,28841,289333,4654
10317,21/05/2021,Jharkhand,324884,26511,293659,4714
10318,22/05/2021,Jharkhand,327035,24499,297776,4760
10319,23/05/2021,Jharkhand,329072,22566,301705,4801
10320,24/05/2021,Jharkhand,330417,19499,306080,4838
10321,25/05/2021,Jharkhand,331811,17569,309371,4871
10322,26/05/2021,Jharkhand,333058,15641,312526,4891
10323,27/05/2021,Jharkhand,334035,14196,314929,4910
10324,28/05/2021,Jharkhand,334730,13097,316707,4926
10325,30/05/2021,Jharkhand,336240,10946,320336,4958
10326,31/05/2021,Jharkhand,336943,9906,322060,4977
10327,01/06/2021,Jharkhand,337774,8907,323876,4991
10328,02/06/2021,Jharkhand,338383,8058,325325,5000
10329,03/06/2021,Jharkhand,338915,7307,326597,5011
10330,04/06/2021,Jharkhand,339930,7537,327372,5021
10331,05/06/2021,Jharkhand,340408,6832,328542,5034
10332,06/06/2021,Jharkhand,340925,6239,329640,5046
10333,07/06/2021,Jharkhand,341218,5686,330478,5054
10334,08/06/2021,Jharkhand,341576,5312,331204,5060
10335,09/06/2021,Jharkhand,342179,5099,332007,5073
10336,10/06/2021,Jharkhand,342481,4783,332622,5076
10337,11/06/2021,Jharkhand,342774,4514,333179,5081
10338,12/06/2021,Jharkhand,343065,4220,333763,5082
10339,13/06/2021,Jharkhand,343304,3966,334256,5082
10340,14/06/2021,Jharkhand,343458,3395,334979,5084
10341,15/06/2021,Jharkhand,343609,3062,335462,5085
10342,16/06/2021,Jharkhand,343793,2646,336058,5089
10343,17/06/2021,Jharkhand,343983,2246,336645,5092
10344,18/06/2021,Jharkhand,344129,1946,337088,5095
10345,19/06/2021,Jharkhand,344270,1811,337362,5097
10346,20/06/2021,Jharkhand,344405,1639,337667,5099
10347,21/06/2021,Jharkhand,344543,1596,337848,5099
10348,22/06/2021,Jharkhand,344665,1489,338076,5100
10349,23/06/2021,Jharkhand,344775,1417,338256,5102
10350,25/06/2021,Jharkhand,345028,1224,338698,5106
10351,26/06/2021,Jharkhand,345161,1184,338870,5107
10352,27/06/2021,Jharkhand,345259,1113,339036,5110
10353,28/06/2021,Jharkhand,345340,1030,339199,5111
10354,29/06/2021,Jharkhand,345430,1005,339314,5111
10355,30/06/2021,Jharkhand,345525,949,339463,5113
10356,01/07/2021,Jharkhand,345610,914,339583,5113
10357,02/07/2021,Jharkhand,345706,854,339739,5113
10358,03/07/2021,Jharkhand,345794,831,339850,5113
10359,04/07/2021,Jharkhand,345885,805,339966,5114
10360,05/07/2021,Jharkhand,345937,658,340164,5115
10361,06/07/2021,Jharkhand,345983,609,340257,5117
10362,07/07/2021,Jharkhand,346038,555,340365,5118
10363,08/07/2021,Jharkhand,346113,532,340463,5118
10364,09/07/2021,Jharkhand,346168,476,340573,5119
10365,10/07/2021,Jharkhand,346223,449,340655,5119
10366,11/07/2021,Jharkhand,346279,423,340737,5119
10367,12/07/2021,Jharkhand,346328,411,340798,5119
10368,13/07/2021,Jharkhand,346371,390,340862,5119
10369,14/07/2021,Jharkhand,346411,347,340944,5120
10370,15/07/2021,Jharkhand,346479,344,341015,5120
10371,16/07/2021,Jharkhand,346533,336,341077,5120
10372,17/07/2021,Jharkhand,346588,340,341128,5120
10373,18/07/2021,Jharkhand,346649,337,341192,5120
10374,19/07/2021,Jharkhand,346681,327,341234,5120
10375,21/07/2021,Jharkhand,346778,320,341336,5122
10376,22/07/2021,Jharkhand,346824,315,341387,5122
10377,26/07/2021,Jharkhand,346946,254,341568,5124
10378,27/07/2021,Jharkhand,346983,246,341613,5124
10379,28/07/2021,Jharkhand,347022,247,341650,5125
10380,29/07/2021,Jharkhand,347049,237,341686,5126
10381,30/07/2021,Jharkhand,347105,259,341720,5126
10382,31/07/2021,Jharkhand,347137,260,341749,5128
10383,01/08/2021,Jharkhand,347173,252,341793,5128
10384,02/08/2021,Jharkhand,347200,254,341817,5129
10385,03/08/2021,Jharkhand,347223,239,341855,5129
10386,04/08/2021,Jharkhand,347246,234,341883,5129
10387,05/08/2021,Jharkhand,347276,223,341924,5129
10388,06/08/2021,Jharkhand,347304,223,341952,5129
10389,07/08/2021,Jharkhand,347336,226,341980,5130
10390,08/08/2021,Jharkhand,347373,221,342022,5130
10391,09/08/2021,Jharkhand,347392,211,342051,5130
10392,10/08/2021,Jharkhand,347406,202,342074,5130
10393,11/08/2021,Jharkhand,347440,208,342102,5130
10394,12/08/2021,Jharkhand,347454,196,342128,5130
10395,13/08/2021,Jharkhand,347498,211,342157,5130
10396,14/08/2021,Jharkhand,347530,223,342176,5131
10397,15/08/2021,Jharkhand,347558,217,342210,5131
10398,16/08/2021,Jharkhand,347585,214,342240,5131
10399,17/08/2021,Jharkhand,347620,236,342253,5131
10400,18/08/2021,Jharkhand,347635,217,342286,5132
10401,19/08/2021,Jharkhand,347667,225,342310,5132
10402,20/08/2021,Jharkhand,347690,223,342335,5132
10403,21/08/2021,Jharkhand,347707,215,342360,5132
10404,22/08/2021,Jharkhand,347725,213,342380,5132
10405,23/08/2021,Jharkhand,347730,177,342421,5132
10406,24/08/2021,Jharkhand,347748,165,342451,5132
10407,25/08/2021,Jharkhand,347755,153,342470,5132
10408,26/08/2021,Jharkhand,347763,140,342491,5132
10409,27/08/2021,Jharkhand,347794,139,342523,5132
10410,28/08/2021,Jharkhand,347815,146,342537,5132
10411,29/08/2021,Jharkhand,347829,142,342555,5132
10412,30/08/2021,Jharkhand,347842,144,342566,5132
10413,31/08/2021,Jharkhand,347855,138,342585,5132
10414,01/09/2021,Jharkhand,347867,130,342605,5132
10415,02/09/2021,Jharkhand,347894,137,342625,5132
10416,03/09/2021,Jharkhand,347922,143,342647,5132
10417,04/09/2021,Jharkhand,347933,141,342660,5132
10418,05/09/2021,Jharkhand,347942,133,342676,5133
10419,06/09/2021,Jharkhand,347957,132,342692,5133
10420,07/09/2021,Jharkhand,348012,139,342740,5133
10421,08/09/2021,Jharkhand,347989,129,342727,5133
10422,09/09/2021,Jharkhand,348012,139,342740,5133
10423,10/09/2021,Jharkhand,348055,142,342780,5133
10424,11/09/2021,Jharkhand,348062,128,342801,5133
10425,12/09/2021,Jharkhand,348062,128,342801,5133
10426,13/09/2021,Jharkhand,348073,127,342813,5133
10427,14/09/2021,Jharkhand,348079,117,342829,5133
10428,15/09/2021,Jharkhand,348086,111,342842,5133
10429,16/09/2021,Jharkhand,348096,110,342853,5133
10430,18/09/2021,Jharkhand,348111,94,342884,5133
10431,19/09/2021,Jharkhand,348114,74,342907,5133
10432,20/09/2021,Jharkhand,348116,56,342927,5133
10433,21/09/2021,Jharkhand,348125,55,342937,5133
10434,22/09/2021,Jharkhand,348139,65,342941,5133
10435,23/09/2021,Jharkhand,348146,63,342950,5133
10436,24/09/2021,Jharkhand,348162,65,342964,5133
10437,25/09/2021,Jharkhand,348174,72,342969,5133
10438,26/09/2021,Jharkhand,348189,82,342974,5133
10439,27/09/2021,Jharkhand,348194,80,342981,5133
10440,28/09/2021,Jharkhand,348198,79,342986,5133
10441,29/09/2021,Jharkhand,348209,76,342998,5135
10442,30/09/2021,Jharkhand,348215,78,343002,5135
10443,01/10/2021,Jharkhand,348226,83,343008,5135
10444,02/10/2021,Jharkhand,348238,87,343016,5135
10445,03/10/2021,Jharkhand,348255,97,343023,5135
10446,04/10/2021,Jharkhand,348264,98,343031,5135
10447,05/10/2021,Jharkhand,348272,90,343047,5135
10448,06/10/2021,Jharkhand,348280,84,343061,5135
10449,07/10/2021,Jharkhand,348287,83,343069,5135
10450,08/10/2021,Jharkhand,348314,101,343078,5135
10451,09/10/2021,Jharkhand,348334,112,343087,5135
10452,10/10/2021,Jharkhand,348343,108,343100,5135
10453,11/10/2021,Jharkhand,348352,108,343109,5135
10454,12/10/2021,Jharkhand,348365,113,343117,5135
10455,13/10/2021,Jharkhand,348381,120,343126,5135
10456,14/10/2021,Jharkhand,348395,126,343134,5135
10457,15/10/2021,Jharkhand,348406,130,343141,5135
10458,16/10/2021,Jharkhand,348415,130,343150,5135
10459,17/10/2021,Jharkhand,348423,123,343165,5135
10460,18/10/2021,Jharkhand,348430,122,343173,5135
10461,19/10/2021,Jharkhand,348444,125,343184,5135
10462,20/10/2021,Jharkhand,348461,128,343198,5135
10463,21/10/2021,Jharkhand,348486,142,343209,5135
10464,22/10/2021,Jharkhand,348526,166,343225,5135
10465,23/10/2021,Jharkhand,348562,183,343244,5135
10466,24/10/2021,Jharkhand,348592,202,343255,5135
10467,25/10/2021,Jharkhand,348627,224,343268,5135
10468,26/10/2021,Jharkhand,348659,195,343329,5135
10469,27/10/2021,Jharkhand,348677,190,343352,5135
10470,28/10/2021,Jharkhand,348705,160,343408,5137
10471,29/10/2021,Jharkhand,348720,154,343429,5137
10472,30/10/2021,Jharkhand,348736,93,343505,5138
10473,31/10/2021,Jharkhand,348754,106,343510,5138
10474,01/11/2021,Jharkhand,348764,108,343518,5138
10475,02/11/2021,Jharkhand,348771,97,343536,5138
10476,04/11/2021,Jharkhand,348808,115,343555,5138
10477,05/11/2021,Jharkhand,348828,127,343563,5138
10478,06/11/2021,Jharkhand,348848,138,343572,5138
10479,07/11/2021,Jharkhand,348864,140,343586,5138
10480,08/11/2021,Jharkhand,348882,145,343599,5138
10481,09/11/2021,Jharkhand,348905,146,343621,5138
10482,10/11/2021,Jharkhand,348933,154,343641,5138
10483,11/11/2021,Jharkhand,348948,150,343660,5138
10484,12/11/2021,Jharkhand,348960,149,343673,5138
10485,14/11/2021,Jharkhand,348992,141,343713,5138
10486,15/11/2021,Jharkhand,349006,135,343733,5138
10487,16/11/2021,Jharkhand,349027,141,343747,5139
10488,17/11/2021,Jharkhand,349041,133,343769,5139
10489,18/11/2021,Jharkhand,349066,135,343792,5139
10490,19/11/2021,Jharkhand,343812,-5139,343812,5139
10491,20/11/2021,Jharkhand,349111,133,343839,5139
10492,22/11/2021,Jharkhand,349135,131,343864,5140
10493,23/11/2021,Jharkhand,349149,131,343878,5140
10494,24/11/2021,Jharkhand,349161,123,343898,5140
10495,25/11/2021,Jharkhand,349177,123,343914,5140
10496,26/11/2021,Jharkhand,349184,109,343935,5140
10497,27/11/2021,Jharkhand,349196,109,343947,5140
10498,28/11/2021,Jharkhand,349216,109,343967,5140
10499,29/11/2021,Jharkhand,349221,93,343988,5140
10500,30/11/2021,Jharkhand,349232,95,343997,5140
10501,02/12/2021,Jharkhand,349256,94,344022,5140
10502,05/12/2021,Jharkhand,349317,115,344061,5141
10503,06/12/2021,Jharkhand,349342,127,344074,5141
10504,07/12/2021,Jharkhand,349352,131,344080,5141
10505,08/12/2021,Jharkhand,349367,136,344090,5141
10506,09/12/2021,Jharkhand,349383,129,344113,5141
10507,12/12/2021,Jharkhand,349420,130,344149,5141
10508,13/12/2021,Jharkhand,349431,131,344159,5141
10509,14/12/2021,Jharkhand,349435,121,344173,5141
10510,15/12/2021,Jharkhand,349450,122,344186,5142
10511,16/12/2021,Jharkhand,349466,127,344197,5142
10512,17/12/2021,Jharkhand,349485,132,344211,5142
10513,18/12/2021,Jharkhand,349504,136,344226,5142
10514,19/12/2021,Jharkhand,349522,139,344241,5142
10515,20/12/2021,Jharkhand,349541,144,344255,5142
10516,21/12/2021,Jharkhand,349573,159,344272,5142
10517,22/12/2021,Jharkhand,349599,170,344287,5142
10518,23/12/2021,Jharkhand,349650,201,344307,5142
10519,24/12/2021,Jharkhand,349694,236,344316,5142
10520,25/12/2021,Jharkhand,349749,273,344334,5142
10521,26/12/2021,Jharkhand,349807,316,344349,5142
10522,27/12/2021,Jharkhand,349867,361,344364,5142
10523,28/12/2021,Jharkhand,350005,477,344386,5142
10524,29/12/2021,Jharkhand,350160,608,344410,5142
10525,30/12/2021,Jharkhand,350504,929,344433,5142
10526,31/12/2021,Jharkhand,350986,1371,344472,5143
10527,01/01/2022,Jharkhand,351739,2002,344593,5144
10528,02/01/2022,Jharkhand,352746,2904,344698,5144
10529,03/01/2022,Jharkhand,353803,3842,344815,5146
10530,04/01/2022,Jharkhand,355284,5218,344919,5147
10531,05/01/2022,Jharkhand,357965,7681,345135,5149
10532,06/01/2022,Jharkhand,361518,10990,345379,5149
10533,07/01/2022,Jharkhand,365222,14255,345814,5153
10534,08/01/2022,Jharkhand,369047,17206,346680,5161
10535,09/01/2022,Jharkhand,374128,21098,347866,5164
10536,10/01/2022,Jharkhand,377572,23328,349074,5170
10537,11/01/2022,Jharkhand,382054,26019,350863,5172
10538,12/01/2022,Jharkhand,386773,29042,352555,5176
10539,13/01/2022,Jharkhand,391526,30986,355356,5184
10540,14/01/2022,Jharkhand,395526,32250,358087,5189
10541,15/01/2022,Jharkhand,399275,33189,360894,5192
10542,16/01/2022,Jharkhand,402533,33089,364245,5199
10543,17/01/2022,Jharkhand,405309,31747,368359,5203
10544,18/01/2022,Jharkhand,407808,29974,372625,5209
10545,19/01/2022,Jharkhand,410322,28586,376523,5213
10546,20/01/2022,Jharkhand,412939,27422,380292,5225
10547,21/01/2022,Jharkhand,415388,25578,384575,5235
10548,22/01/2022,Jharkhand,417403,23770,388389,5244
10549,23/01/2022,Jharkhand,419158,21628,392277,5253
10550,24/01/2022,Jharkhand,420427,19466,395700,5261
10551,25/01/2022,Jharkhand,421838,17457,399109,5272
10552,26/01/2022,Jharkhand,423328,15825,402222,5281
10553,27/01/2022,Jharkhand,424337,13908,405143,5286
